"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Wrap73",7.14356200987856,6.83121318356222,6.54297496583732,7.61036038709718,7.41739275746378,7.29898273473922,7.07727131539633,6.90551699183743,7.13544436591224,7.09869510585423,7.31630390877883,7.12288021228752
"Wrb",7.796875082997,7.92323263072229,8.0774708401437,7.82511439793686,7.99039825817981,7.47229504005639,7.66245968140346,7.72410851160233,7.84039197873541,7.81506498225165,7.94304019135285,7.94048520479484
"Wrn",7.00512328614454,6.99917462710123,6.14768706671911,6.12474723758388,6.47963658257261,6.93977187644701,6.77340820694512,6.87103476832645,6.22214743179037,6.6996942295742,6.20958852122991,6.59420774544285
"Wrnip1",7.82848321748414,8.02118814493184,7.5095164232101,7.93148624878155,7.77149226760984,7.7569329987451,7.67008784411189,7.75018721611513,7.85590030441075,7.9017491711,8.12533671434341,7.86018191040453
"Wsb1",7.51555165893365,7.52766859083875,8.31935544297674,7.56552346664537,7.45352268672631,7.46461418239395,7.69269114470292,7.69207033604171,7.93556687048817,7.80505653699475,7.50274844109288,7.62368393414327
"Wsb2",9.57741586879746,9.87018102195606,9.90263968106632,9.8455314572394,10.0901960759919,9.83161772686684,9.56346401416602,9.28145994461516,9.72187141526154,10.0925940428053,9.56249001422882,9.52898053417609
"Wscd1",9.26982692383628,8.92578865529584,9.18621590909728,8.83557982173909,8.95990803632171,9.25349828641221,9.0956777405853,9.0241657009187,9.13053545765601,9.02141600245803,9.31419152266854,9.32599855581766
"Wscd2",8.98262838831635,8.14130778138569,8.7838328234068,8.86431683501719,8.70039801279434,8.38188259800304,8.85251636552567,8.67854187027388,8.41894450120317,8.58992565131294,8.92580737988703,9.10899979044777
"Wtap",7.76445064988425,7.98935252026673,8.11316588413634,7.82511439793686,7.81180142826368,7.50995655325607,7.7791798772167,7.84460150102432,7.933150854203,7.71838500690342,7.90225667978231,7.74301210701333
"Wtip",6.4392220180607,6.83121318356222,5.8714991157142,6.37607034507079,6.5062586792095,6.53486846870278,6.28844625763025,6.29133115970725,6.29246896502838,6.42442794395317,6.34854825122736,6.08212828101941
"Wwc1",8.08615622952231,7.66022152666487,8.60008255675366,7.81272578108939,8.05762989008699,7.76296277772707,7.75811565258109,8.06811288267869,8.16713159866916,8.45771726286948,7.71261558946898,8.06648428870778
"Wwc2",7.52129943241928,7.37826164007414,7.92405517014836,7.43691074583839,7.67940310150968,7.71388481483493,7.69269114470292,7.90079103010375,7.88133402801212,7.67452660344944,7.46633307562219,7.6582852436002
"Wwox",6.76080425223905,6.62024200415234,6.42138429717061,7.2116694834612,6.76222801855313,6.68920134154279,6.45913499463188,6.92778025351513,7.02932824410584,6.61645501133539,6.94463094957494,6.99739736657499
"Wwp1",7.49813745736955,7.20583365391247,7.36821169102283,7.59560027388736,7.53920697270028,7.20578692090417,7.63928449015357,7.78580321317577,7.98296035594433,7.54090566211074,7.50989711888406,7.55666488384082
"Wwp2",7.63077426652488,6.91913490601422,7.92405517014836,7.56552346664537,7.41739275746378,7.39307395806996,7.28733193571591,7.1861088045468,7.73464453854756,7.36142984851072,7.40556895020662,7.46288534513953
"Wwtr1",6.54822336691565,6.73295367629313,6.77411668052949,6.95141090182867,6.7440305593165,6.84552118329727,6.63408131806947,6.8826804700944,7.23586344977374,6.65928178495198,6.47791984497932,6.36351920098452
"Xab2",7.22881163718924,7.32375148460184,7.10149304120788,7.34856364161342,6.93975087475964,7.2900176494952,7.38837294262331,7.27497654111886,7.53864075097958,7.35656019491404,7.53806475273938,7.75207732417115
"Xaf1",6.17635408035087,5.8714991157142,6.48537605304389,5.8714991157142,6.57978537085365,6.04419012214,6.54014770739072,5.8714991157142,6.25894492845937,6.09838159864917,5.8714991157142,6.31693657890551
"Xbp1",7.75029261224921,7.77975547190752,8.2148114943315,8.07111023276615,7.81839567409327,7.93161914833246,7.89866175119056,7.32052280664282,7.66778555062953,7.79496780350573,7.76566931365076,7.76107698544605
"Xcr1",6.0872642648797,5.8714991157142,5.8714991157142,5.8714991157142,6.23993883949008,6.04419012214,5.8714991157142,6.37254495461122,5.8714991157142,6.32387626240049,5.8714991157142,6.36351920098452
"Xdh",5.8714991157142,6.73295367629313,5.8714991157142,6.48792481121569,6.35791744854001,6.6163895913524,6.71681921698329,6.79760507411561,6.68903825994603,6.39315542355439,6.31798947697706,6.79828008741105
"Xiap",7.34177111406477,6.91913490601422,7.92405517014836,7.74887959489525,7.70127185306395,7.72012689840592,7.53336662865988,7.65360437320827,7.93556687048817,7.62903742061409,7.14241634540194,7.3353936108217
"Xk",7.45038570201965,6.62024200415234,7.36821169102283,7.23232372004713,6.98253569796566,6.70631806446781,7.38837294262331,7.19450378434269,7.14498706125081,7.3759129769687,7.01517421698423,7.16142050141459
"Xkr4",7.32146255976744,6.30699851990492,7.15529507750942,6.89538536368019,7.24937244395569,6.3579273508265,7.12779237007929,7.0016777258954,7.57467619943834,7.45017310037422,6.90721516006164,7.10704426629063
"Xkr6",6.24452375010519,6.73295367629313,6.14768706671911,6.80396800287181,6.62454492486751,6.48977494539528,6.75499606905853,6.74473049842733,6.53863350982265,6.62741024488222,6.4299477385581,6.53236551604016
"Xkr7",5.8714991157142,6.30699851990492,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.19203048538614,6.40425717709741,6.02050250303902
"Xkr8",6.47787086345724,5.8714991157142,6.54297496583732,6.70103236680679,6.60253660626119,6.3579273508265,6.24468587809479,5.8714991157142,6.32344890622653,6.09838159864917,5.8714991157142,6.34082640412592
"Xkrx",6.35218786696624,6.48509415113804,6.26149602139199,6.30902253287118,6.39115490720076,5.8714991157142,5.8714991157142,6.26038260461763,6.32344890622653,6.3767605706774,6.16445996696577,6.16911037830539
"Xlr",5.8714991157142,6.30699851990492,5.8714991157142,5.8714991157142,6.28314971159458,5.8714991157142,5.8714991157142,6.09647343337843,6.10558361421441,5.8714991157142,5.8714991157142,6.02050250303902
"Xlr3a",5.8714991157142,6.73295367629313,5.8714991157142,6.12474723758388,5.8714991157142,5.8714991157142,6.19491251598861,5.8714991157142,5.8714991157142,6.24136482413915,6.20958852122991,6.16911037830539
"Xlr3b",5.8714991157142,5.8714991157142,6.34842684792582,6.58152547799477,6.19079303942823,6.63530608935515,5.8714991157142,6.03066048792372,5.9886376170304,6.55883215186653,6.11083729075916,6.29164539485145
"Xlr4a",5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.20409192532641
"Xlr4b",5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.13237832662708,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.40425717709741,5.8714991157142
