,Subfield,Gene,Group,meandiff,p-adj,sig
141,CA3,Prkcb,conflict.trained.VS.standard.yoked,0.4371,0.4949, 
142,CA3,Prkcz,conflict.trained.VS.standard.yoked,0.4786,0.2885, 
143,CA3,Prkci,conflict.trained.VS.standard.yoked,0.7986,0.0388,*
144,CA3,Fos,conflict.yoked.VS.standard.trained,0.6612,0.8984, 
145,CA3,Fosl2,conflict.yoked.VS.standard.trained,0.5571,0.6976, 
146,CA3,Npas4,conflict.yoked.VS.standard.trained,-1.1961,0.6132, 
147,CA3,Arc,conflict.yoked.VS.standard.trained,-0.4437,0.6665, 
148,CA3,Grin1,conflict.yoked.VS.standard.trained,-0.4911,0.4363, 
149,CA3,Gria1,conflict.yoked.VS.standard.trained,-0.1747,0.8253, 
150,CA3,Gria2,conflict.yoked.VS.standard.trained,-0.6812,0.1553, 
151,CA3,Pick1,conflict.yoked.VS.standard.trained,-0.2584,0.2369, 
152,CA3,Nsf,conflict.yoked.VS.standard.trained,-0.4824,0.2027, 
153,CA3,Numb,conflict.yoked.VS.standard.trained,-0.0811,0.9997, 
154,CA3,Fmr1,conflict.yoked.VS.standard.trained,0.5762,0.4142, 
155,CA3,Camk2a,conflict.yoked.VS.standard.trained,0.0515,0.9977, 
156,CA3,Wwc1,conflict.yoked.VS.standard.trained,-0.2168,0.9446, 
157,CA3,Prkcb,conflict.yoked.VS.standard.trained,-0.3655,0.738, 
158,CA3,Prkcz,conflict.yoked.VS.standard.trained,0.2934,0.7589, 
159,CA3,Prkci,conflict.yoked.VS.standard.trained,-0.3692,0.5829, 
160,CA3,Fos,conflict.yoked.VS.standard.yoked,-1.6096,0.3092, 
161,CA3,Fosl2,conflict.yoked.VS.standard.yoked,-0.5559,0.6262, 
162,CA3,Npas4,conflict.yoked.VS.standard.yoked,-1.0827,0.6047, 
163,CA3,Arc,conflict.yoked.VS.standard.yoked,0.0085,1.0, 
164,CA3,Grin1,conflict.yoked.VS.standard.yoked,-0.348,0.6116, 
165,CA3,Gria1,conflict.yoked.VS.standard.yoked,-0.1521,0.8362, 
166,CA3,Gria2,conflict.yoked.VS.standard.yoked,-0.1955,0.8664, 
167,CA3,Pick1,conflict.yoked.VS.standard.yoked,0.1568,0.5256, 
168,CA3,Nsf,conflict.yoked.VS.standard.yoked,-0.2573,0.5808, 
169,CA3,Numb,conflict.yoked.VS.standard.yoked,-1.2859,0.3965, 
170,CA3,Fmr1,conflict.yoked.VS.standard.yoked,0.3741,0.6519, 
171,CA3,Camk2a,conflict.yoked.VS.standard.yoked,0.4884,0.2925, 
172,CA3,Wwc1,conflict.yoked.VS.standard.yoked,0.099,0.9918, 
173,CA3,Prkcb,conflict.yoked.VS.standard.yoked,-0.0398,0.9992, 
174,CA3,Prkcz,conflict.yoked.VS.standard.yoked,0.5053,0.2973, 
175,CA3,Prkci,conflict.yoked.VS.standard.yoked,0.1929,0.8681, 
176,CA3,Fos,standard.trained.VS.standard.yoked,-2.2708,0.1615, 
177,CA3,Fosl2,standard.trained.VS.standard.yoked,-1.113,0.2015, 
178,CA3,Npas4,standard.trained.VS.standard.yoked,0.1133,0.9993, 
179,CA3,Arc,standard.trained.VS.standard.yoked,0.4523,0.6541, 
180,CA3,Grin1,standard.trained.VS.standard.yoked,0.1431,0.9652, 
181,CA3,Gria1,standard.trained.VS.standard.yoked,0.0226,0.9995, 
182,CA3,Gria2,standard.trained.VS.standard.yoked,0.4857,0.3794, 
183,CA3,Pick1,standard.trained.VS.standard.yoked,0.4152,0.0408,*
184,CA3,Nsf,standard.trained.VS.standard.yoked,0.225,0.7397, 
185,CA3,Numb,standard.trained.VS.standard.yoked,-1.2049,0.5329, 
186,CA3,Fmr1,standard.trained.VS.standard.yoked,-0.2021,0.9375, 
187,CA3,Camk2a,standard.trained.VS.standard.yoked,0.4369,0.4616, 
188,CA3,Wwc1,standard.trained.VS.standard.yoked,0.3158,0.8536, 
189,CA3,Prkcb,standard.trained.VS.standard.yoked,0.3257,0.7967, 
190,CA3,Prkcz,standard.trained.VS.standard.yoked,0.212,0.8882, 
191,CA3,Prkci,standard.trained.VS.standard.yoked,0.562,0.2666, 
192,CA1,Fos,conflict.trained.VS.conflict.yoked,0.0054,1.0, 
193,CA1,Fosl2,conflict.trained.VS.conflict.yoked,-0.2177,0.7444, 
194,CA1,Npas4,conflict.trained.VS.conflict.yoked,-0.1391,0.9957, 
195,CA1,Arc,conflict.trained.VS.conflict.yoked,0.0119,1.0, 
196,CA1,Grin1,conflict.trained.VS.conflict.yoked,0.0981,0.5941, 
197,CA1,Gria1,conflict.trained.VS.conflict.yoked,0.073,0.805, 
198,CA1,Gria2,conflict.trained.VS.conflict.yoked,0.1935,0.4306, 
199,CA1,Pick1,conflict.trained.VS.conflict.yoked,-0.1919,0.8306, 
200,CA1,Nsf,conflict.trained.VS.conflict.yoked,-0.1889,0.7271, 
201,CA1,Numb,conflict.trained.VS.conflict.yoked,-0.5129,0.3848, 
202,CA1,Fmr1,conflict.trained.VS.conflict.yoked,-0.016,0.9996, 
203,CA1,Camk2a,conflict.trained.VS.conflict.yoked,0.3298,0.2912, 
204,CA1,Wwc1,conflict.trained.VS.conflict.yoked,0.1935,0.705, 
205,CA1,Prkcb,conflict.trained.VS.conflict.yoked,0.2458,0.747, 
206,CA1,Prkcz,conflict.trained.VS.conflict.yoked,-0.0008,1.0, 
207,CA1,Prkci,conflict.trained.VS.conflict.yoked,0.0299,0.9994, 
208,CA1,Fos,conflict.trained.VS.standard.trained,0.0825,0.9725, 
209,CA1,Fosl2,conflict.trained.VS.standard.trained,0.1789,0.8366, 
210,CA1,Npas4,conflict.trained.VS.standard.trained,1.0099,0.4116, 
211,CA1,Arc,conflict.trained.VS.standard.trained,0.3278,0.6806, 
212,CA1,Grin1,conflict.trained.VS.standard.trained,0.0765,0.7524, 
213,CA1,Gria1,conflict.trained.VS.standard.trained,0.1258,0.4492, 
214,CA1,Gria2,conflict.trained.VS.standard.trained,0.1371,0.684, 
215,CA1,Pick1,conflict.trained.VS.standard.trained,-0.2577,0.6765, 
216,CA1,Nsf,conflict.trained.VS.standard.trained,-0.1795,0.7554, 
217,CA1,Numb,conflict.trained.VS.standard.trained,-0.1544,0.9554, 
218,CA1,Fmr1,conflict.trained.VS.standard.trained,0.3661,0.1567, 
219,CA1,Camk2a,conflict.trained.VS.standard.trained,0.1251,0.8857, 
220,CA1,Wwc1,conflict.trained.VS.standard.trained,0.1574,0.8127, 
221,CA1,Prkcb,conflict.trained.VS.standard.trained,0.4177,0.3683, 
222,CA1,Prkcz,conflict.trained.VS.standard.trained,0.0304,0.9976, 
223,CA1,Prkci,conflict.trained.VS.standard.trained,0.0354,0.999, 
224,CA1,Fos,conflict.trained.VS.standard.yoked,0.1933,0.9192, 
