,R,G,B,hex_val,hls_val,method2_R,method2_G,method2_B,L1_M2,gene
Gm43786,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Gm43786
Ildr1,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Ildr1
Olfml2b,0.0015503110921104377,0.0011145357957137016,0.8398177866795757,#0000d6,#0000d6,0.0018460041093999173,0.0013271127771910674,0.9999974155169126,B,Olfml2b
Hspa1a,0.0015503110921104377,0.0011145357957137016,0.8398177866795759,#0000d6,#0000d6,0.0018460041093999171,0.0013271127771910672,0.9999974155169126,B,Hspa1a
Clip2,0.0015503110921104377,0.0011145357957135717,0.8398177866795759,#0000d6,#0000d6,0.0018460041093999171,0.0013271127771909126,0.9999974155169126,B,Clip2
Mamld1,0.002070241298918537,0.0006714224156804306,0.837572656444904,#0100d6,#0100d6,0.0024717071335885136,0.0008016261560212722,0.9999966240239772,B,Mamld1
Hipk3,0.0014332403258251946,0.0018387799731003345,0.8407070320437481,#0000d6,#0000d6,0.0017047969867398935,0.0021871744053909925,0.999996154960285,B,Hipk3
Uspl1,0.0015210360020372655,0.0017693485793127506,0.8412544216561896,#0000d7,#0000d7,0.0018080501124635214,0.0021032183942581084,0.9999961537061914,B,Uspl1
Coa3,0.0017053907582069811,0.0017605752833857746,0.8399315346311277,#0000d6,#0000d6,0.002030383937615119,0.002096084876235041,0.9999957419755634,B,Coa3
Zfp804b,0.0024539083089927345,0.0,0.835506478581904,#0100d5,#0100d5,0.002937018189655797,0.0,0.9999956869527756,B,Zfp804b
Hist1h3i,0.0024846176846053908,2.7851912695096327e-05,0.83537640851285,#0100d5,#0100d5,0.0029742361267529873,3.334040703734349e-05,0.9999955763941557,B,Hist1h3i
Iqcg,0.0024846176846053908,2.7851912695096327e-05,0.8353764085128499,#0100d5,#0100d5,0.0029742361267529873,3.334040703734349e-05,0.9999955763941556,B,Iqcg
