R,G,B,hex_val,gene,hls_val
0.990009,0.0,0.035963999999999996,#fc0009,Dusp8,#fc0009
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Dyrk2,#00ccb1
0.008945999999999999,0.978096,0.0049700000000000005,#02f901,Edar,#02f901
0.008,0.974,0.016,#02f804,Egflam,#02f804
0.999,0.0,0.034965,#ff0009,Egr1,#ff0009
0.999,0.0,0.034965,#ff0009,Egr2,#ff0009
0.999,0.0,0.034965,#ff0009,Egr3,#ff0009
0.999,0.0,0.034965,#ff0009,Egr4,#ff0009
0.000955,0.00573,0.9206199999999999,#0001eb,Eif1a,#0001eb
0.0,0.0007790000000000007,3.8000000000000036e-05,#000000,Eif2b1,#00cc0a
0.0,0.323204,0.143269,#005225,Eif2s1,#00cc5a
0.999,0.0,0.034965,#ff0009,Eif5,#ff0009
0.0,0.39836599999999994,0.572712,#006692,Elavl1,#008ecc
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Epc1,#00ccb1
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Ephx2,#00ccb1
0.771228,0.000999,0.252747,#c50040,Eprs,#cc0043
0.999,0.0,0.034965,#ff0009,Errfi1,#ff0009
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Esm1,#00ccb1
0.10976,0.00196,0.87808,#1c00e0,Extl1,#1c00e0
0.319,0.558,0.122,#518e1f,F13a1,#60a725
0.892107,0.105894,0.011988,#e31b03,Fam118a,#e31b03
0.0,0.0005159999999999997,0.009115999999999996,#000002,Fam122a,#000ccc
0.11172,0.00196,0.87612,#1c00df,Fam150b,#1c00df
0.0,0.978,0.000978,#00f900,Fam174b,#00f900
0.0,0.0009030000000000007,0.0,#000000,Fam189a2,#00cc00
0.582417,0.408591,0.018980999999999998,#956805,Fam53c,#c68b06
0.00031399999999999993,0.0018839999999999996,0.10330599999999998,#00001a,Fam57a,#0104cb
0.0,0.0,0.012479999999999998,#000003,Fam78a,#0000cc
0.999,0.0,0.034965,#ff0009,Fbl,#ff0009
0.6913079999999999,0.0,0.33466500000000005,#b00055,Fbxl2,#cc0063
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Fbxl4,#00ccc3
0.0,0.974048,0.000976,#00f800,Fbxl6,#00f800
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Fbxo18,#00ccb1
0.999,0.0,0.034965,#ff0009,Fbxo33,#ff0009
0.990009,0.0,0.035963999999999996,#fc0009,Fbxo34,#fc0009
0.007944,0.978105,0.004965,#02f901,Fbxo42,#02f901
0.990009,0.0,0.035963999999999996,#fc0009,Fbxw7,#fc0009
0.483608,0.001982,0.530185,#7b0187,Fdx1l,#b901cb
0.008945999999999999,0.870744,0.111328,#02de1c,Fgf8,#02de1c
0.008945999999999999,0.870744,0.111328,#02de1c,Fkbp6,#02de1c
0.990009,0.0,0.035963999999999996,#fc0009,Flrt3,#fc0009
0.0,0.0,0.0,#000000,Fmr1,#666666
0.999,0.0,0.034965,#ff0009,Fos,#ff0009
0.999,0.0,0.034965,#ff0009,Fosb,#ff0009
0.999,0.0,0.034965,#ff0009,Fosl2,#ff0009
0.847,0.0,0.188,#d80030,Foxg1,#d80030
0.0,0.0004080000000000004,0.00010800000000000009,#000000,Foxk1,#00cc36
0.757124,0.000991,0.258651,#c10042,Foxo1,#cc0046
0.0,0.0007790000000000007,3.8000000000000036e-05,#000000,Frat2,#00cc0a
0.999,0.0,0.034965,#ff0009,Frmd6,#ff0009
0.02156,0.00686,0.95256,#0502f3,Fto,#0502f3
0.008945999999999999,0.862792,0.11928,#02dc1e,Fut7,#02dc1e
0.0,0.978,0.000978,#00f900,Fxyd2,#00f900
0.0,0.0009030000000000007,0.0,#000000,Fzd4,#00cc00
0.991008,0.0,0.034965,#fd0009,Fzd5,#fd0009
0.0,0.978,0.000978,#00f900,Gabra4,#00f900
0.005946,0.864152,0.11892,#02dc1e,Gadd45b,#02dc1e
0.998001,0.0,0.035963999999999996,#fe0009,Gadd45g,#fe0009
