R,G,B,hex_val,hls_val,gene
0.0,0.21001799999999998,0.306646,#00364e,#008ccc,Slco2a1
1.0,0.0,0.0,#ff0000,#ff0000,Smad7
0.0,0.07284499999999997,0.02073999999999999,#001305,#00cc3a,Smc1b
0.917,0.002,0.04,#ea010a,#ea010a,Smg9
1.0,0.0,0.0,#ff0000,#ff0000,Smndc1
0.0,0.029852000000000028,0.009078000000000008,#000802,#00cc3e,Snrpd2
1.0,0.0,0.0,#ff0000,#ff0000,Snx18
1.0,0.0,0.0,#ff0000,#ff0000,Snx4
0.0,0.016283000000000013,0.0055100000000000045,#000401,#00cc45,Sorcs2
0.000693,0.272349,0.392238,#004564,#008dcc,Sos1
0.0,0.23250900000000005,0.08904600000000001,#003b17,#00cc4e,Sowahc
0.848735,0.00995,0.1393,#d80324,#d80324,Spata2l
0.789528,0.027496,0.10016399999999999,#c9071a,#c9071a,Spcs3
0.0,0.1261,0.022230000000000003,#002006,#00cc24,Specc1l
0.0,0.051471000000000044,0.013908000000000012,#000d04,#00cc37,Spin2c
0.008016000000000002,0.13326600000000002,0.05126900000000001,#02220d,#0cc04a,Sptlc2
1.0,0.0,0.0,#ff0000,#ff0000,Spty2d1
0.0,0.17924899999999996,0.04222399999999999,#002e0b,#00cc30,Srek1ip1
1.0,0.0,0.0,#ff0000,#ff0000,Srf
0.0,0.12834500000000001,0.022344000000000003,#002106,#00cc24,Srgap1
1.0,0.0,0.0,#ff0000,#ff0000,Ssna1
0.0,0.0,0.0,#000000,#666666,Ssxb2
0.09839400000000002,0.13618300000000003,0.49268300000000004,#19237e,#222faa,Stard3nl
0.0,0.16488000000000005,0.03564000000000001,#002a09,#00cc2c,Stmn4
1.0,0.0,0.0,#ff0000,#ff0000,Stx2
0.289278,0.011688,0.600958,#4a0399,#6004c8,Sumf2
0.0,0.09985499999999999,0.020579999999999998,#001905,#00cc2a,Suv39h1
1.0,0.0,0.0,#ff0000,#ff0000,Syt4
