"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"Slc9a8",7.66241560528587,7.62490411774522,7.45600313633237,7.63243207366148,7.67305954015781,7.36710766552089,7.63360456101118,8.06609696264123,7.50890480493475,7.8650509719432,7.63850296915079,7.63019687315711,7.21507630272952,7.15860265365279
"Slc9a9",7.03066259208124,6.60570649132144,7.1890104968874,7.08662601947414,6.98302557284596,7.01419119597458,7.38328138154837,6.38498361370742,7.25070743244972,6.38938656197437,7.06238148826447,7.06960049053759,7.24039848832041,6.95542563402716
"Slc9b1",6.21123463084131,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.2530571528921,6.50414756771599,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc9b2",6.602782025063,6.51869343138762,6.85439481466697,6.7187945202419,6.57794962724873,6.53983779983095,6.63378946340897,6.91898509594166,6.83550412089419,7.239140530962,6.6256165003282,6.66546237942418,6.42301843081738,6.90835749043024
"Slco1a1",6.00789542020775,6.18931499394586,6.00789542020775,6.22421200453504,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.24981130519207,6.00789542020775,6.18746547755066,6.08447467824077,6.13957646322335,6.00789542020775
"Slco1a4",7.02442544174517,7.27579387146013,6.63708515736438,7.45441948442384,6.78919979777789,7.21769301079995,7.0543977364786,7.35628705778698,7.14015927715704,7.0661747594369,7.10351553685753,6.97637817783965,6.48072398473455,6.68380894652368
"Slco1a6",6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.26168243902759,6.19536562433619,6.00789542020775,6.00789542020775
"Slco1c1",7.41433901769865,7.02929266846688,6.92583247246299,7.46128667786778,7.21617437858862,7.28737521230295,6.98643435310768,7.38653769617497,7.16329940294691,6.66489236855905,7.23479162234844,7.15408325866741,7.02398175780861,7.08273699098956
"Slco2a1",6.55569965254564,6.18931499394586,7.02248263706054,6.70276203625294,6.7262202692449,6.66316121689529,6.67111919392518,6.49380122924978,7.06709449805736,7.0661747594369,6.81104684270974,6.65239556607609,6.77802491322426,6.61353816032173
"Slco2b1",6.57975068874801,6.96771398738934,7.30869831960701,7.13491538506637,6.4122868113539,6.82914663252853,6.59393047198009,6.98938213219476,6.89984877392174,7.18488127009796,6.81104684270974,6.63904014405783,6.63469339012556,7.04231822281836
"Slco3a1",7.33122957032561,7.41506368394132,7.56819791686551,7.48163586463001,7.4634264724033,7.38613162499091,7.39877718784458,6.81428168497208,7.58814025470455,7.63184724015968,7.48786128178282,7.82076372512214,7.3357903752368,7.44248847987502
"Slco4a1",6.33949148414031,6.18931499394586,6.00789542020775,6.00789542020775,6.18921801653438,6.18135510461178,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.44617411458792,6.30193620520856,6.00789542020775
"Slco4c1",6.31816009565364,6.37002228159408,6.37306839320552,6.55660026959543,6.32154406374198,6.51135900822097,6.85926557489866,6.72462801612751,6.54633923271521,6.85135894122011,6.54386587416959,6.40460856867419,6.69832047402426,6.31237987949272
"Slco5a1",6.64622327185486,6.32171137549819,6.73255067918642,6.65208824272141,6.74786205083243,6.6170033867474,6.96253326822378,6.86841145953551,6.89984877392174,6.38938656197437,7.0266072103474,6.98198415087284,6.8397853184016,6.74700262656191
"Slco6c1",6.2426267110868,6.57825099891503,6.37306839320552,6.70276203625294,6.51842284460409,6.33192278681634,6.32267765226755,6.38498361370742,6.24981130519207,6.76440542676067,6.66247475785318,6.37421490808224,6.49840583131664,6.00789542020775
"Slf1",6.79498835190076,6.74824985961397,6.89092431100417,6.46528419047659,6.82826931406447,6.72651432900451,6.73971897034416,6.49380122924978,6.80114958423176,6.00789542020775,6.71940662189629,6.97637817783965,6.99191111536539,6.68380894652368
"Slfn2",6.39640770255108,6.54932977785555,6.63708515736438,6.43932460593696,6.4122868113539,6.18135510461178,6.23070037425295,6.38498361370742,6.24981130519207,6.00789542020775,6.49763100533563,6.08447467824077,6.63469339012556,6.95542563402716
"Slfn3",6.00789542020775,6.18931499394586,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.13491157999603,6.00789542020775,6.00789542020775,6.00789542020775
"Slfn4",6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.44291004308503,6.34961770516126,6.00789542020775,6.29154683176058,6.00789542020775,6.00789542020775,6.00789542020775
"Slfn5",6.57975068874801,6.51869343138762,6.26645540067602,6.91165864949606,6.4122868113539,6.48109648255947,6.23070037425295,6.38498361370742,6.42593309497704,6.00789542020775,6.90093881246201,6.6253773268936,6.42301843081738,6.68380894652368
"Slfn8",6.29522346687915,6.00789542020775,6.63708515736438,6.43932460593696,6.00789542020775,6.41360136698365,6.23070037425295,6.22601984242062,6.49004726141346,6.85135894122011,6.65043866742626,6.30400042893026,6.53191706702333,6.43770976266223
"Slfn9",7.19515366984872,7.29846627249477,7.55025631455544,7.63243207366148,7.31999217925716,7.27171623047007,7.51540481344039,7.70818370306277,7.2295706866236,7.00047654187876,7.75007316734334,7.49566119840614,7.79183989620467,7.22888124942711
"Slfnl1",6.00789542020775,6.18931499394586,6.00789542020775,6.00789542020775,6.00789542020775,6.22027544223045,6.39304379317689,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slirp",7.09074466495676,7.39479336294368,7.39533575556017,6.34944426856938,7.05798619046194,7.10601829851075,7.009682887115,6.72462801612751,7.18589406361482,6.85135894122011,7.01188101257113,6.96219800256339,6.81977325356979,7.38574090942361
"Slit1",10.5295037799546,10.3401490382118,10.6695184807162,10.839546727451,10.6629956335728,10.578046995602,10.3769311399051,10.7164691668035,10.5722208549367,10.5437592029509,10.5656007245011,10.4959665577531,10.5250670526134,10.1186951311295
"Slit2",6.70603446358281,6.96771398738934,7.05242863364238,7.32271986992496,7.31999217925716,7.0480774457401,7.47310057759555,7.22564487971692,6.83550412089419,6.38938656197437,7.12995225200081,7.05430346745678,7.05491906487841,7.19437469332295
"Slit3",8.58595065224359,7.94483356163433,8.48191541466858,8.9894821459359,8.71468815878304,8.78030830907649,8.70432547321991,8.58188712783473,8.54432751036952,8.82816340592129,8.60962719481069,8.4730997833509,8.64386768410536,8.00228084516044
"Slitrk1",8.3817143291296,7.87234486380791,7.97191831079392,8.51851161227949,8.44231825699211,8.03294188326726,8.20249483431796,8.12372412100007,7.9767943334122,8.58861799383276,8.11080021005287,8.35626886294182,7.79944466727405,8.03637340030428
"Slitrk2",8.15883932434404,8.16212126417596,7.91987251542095,8.98109484378587,8.54740252431345,8.18471278835764,8.21821870683126,8.36567253557404,8.29078931670843,9.09423908779955,8.39893577650363,8.42663337677876,8.07082529846404,7.75475629467635
"Slitrk3",8.59744316211801,8.19941656306742,8.50759876308627,9.26219814879721,8.88296853303883,8.59684666200967,8.33768858771776,8.41823693927916,8.87060043259911,8.9407533118014,8.77709303162839,8.87339123766974,8.70600220871389,8.22392428000235
"Slitrk4",7.58195520520025,7.28719282123186,6.73255067918642,8.14817104517831,7.99412190059543,7.66405768849806,7.6083665283101,7.60251552621971,7.35027387994622,7.55582032591099,7.78625694289485,7.47216258516097,7.45933013568106,7.62099114351173
"Slitrk5",8.59416945181709,8.27097134014467,8.17209985978224,9.13244683506872,8.86703102129429,8.64074778050068,8.37985887424677,8.35895449115856,8.63513498638324,9.069798495738,8.92944270094193,8.62558854651252,8.64187989665221,8.22392428000235
"Slk",8.94900981529775,8.42577700575002,8.53280440781468,8.91873082666612,8.94495314742385,8.68663194629226,8.84411358686083,8.95907064040707,8.6283601830471,9.05741656075057,9.12022453154406,8.6809369538667,8.94591441231482,8.49907751634107
