,gene,MIC,KLD,MWU,MIC_log,KLD_log,MWU_log
597,Adss,0.0,0.09265433733434494,0.17524424540000594,-inf,-2.378879513160388,1.7415745901257922
598,Adssl1,0.0,0.4166763392610839,0.3329216080655659,-inf,-0.8754455233967446,1.0998482279297794
599,Adtrp,0.03761674833103368,0.21195778537951493,0.3275480804654137,-3.28030589342671,-1.5513681497065785,1.1161204241010332
600,Aebp1,0.0,0.12830202232954516,0.9485325168506443,-inf,-2.0533682449785755,0.052839207800764176
601,Aebp2,0.1221405578548429,0.11891909700199736,0.8464505968765906,-2.102582783858108,-2.129311874204334,0.16670344074632326
602,Aen,0.01771878914736047,0.30804746311169046,1.0,-4.033129668681711,-1.1775014068689218,-0.0
603,Aes,0.0,0.09826601632923082,0.1065831695748876,-inf,-2.3200770254448466,2.2388296636282443
604,AF529169,0.0685691292834143,3.463710244438209,0.7960340952569827,-2.6799128559812413,1.2423403395220256,0.22811326081765557
605,Afap1,0.10629588665302903,0.11579222132497757,0.03315998745884777,-2.24152869002706,-2.155957889458907,3.4064113269163276
606,Afap1l1,0.0,0.14420561268989177,0.9485325168506443,-inf,-1.9365151319352871,0.052839207800764176
607,Afap1l2,0.0,0.14576737969582276,0.27249048346995175,-inf,-1.9257432176644005,1.3001515885347106
608,Aff1,0.09118817690246162,0.23102761598276778,0.08136112923407546,-2.394830029533137,-1.465218025896889,2.508857647863281
609,Aff2,0.0,0.10524531109837577,0.40138716571176614,-inf,-2.25146135754623,0.9128288169433143
610,Aff3,0.03225960547389062,0.10361214631307407,0.1065831695748876,-3.4339394359354722,-2.267100713624918,2.2388296636282443
611,Aff4,0.03824033109747371,0.08010822133151795,0.045387929038794385,-3.263864532429681,-2.5243767918287365,3.0925090894900094
612,Afg3l1,0.0,0.11493828130063202,0.27249048346995175,-inf,-2.1633599790278066,1.3001515885347106
613,Afg3l2,0.0,0.10518634379154122,0.47767502398590367,-inf,-2.252021798972296,0.7388246438427432
614,Afmid,0.0,0.18876671796206054,0.8971665223750612,-inf,-1.6672433227908428,0.10851379047957144
615,Aftph,0.0,0.1077720138751287,0.9485325168506443,-inf,-2.227737265760123,0.052839207800764176
616,Aga,0.0,0.12989208074390804,1.0,-inf,-2.041051321414109,-0.0
