"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"Atox1",7.00110916562075,7.03594554240564,7.04751634733771,7.09241749411002,7.37208692610573,7.08986522485759,7.18320254919522,6.86838188180244,7.21425993685156,6.97169037177143,6.57205878577827,7.18185081960676,7.12523286255049
"Atp10a",7.15836946065211,7.08171183297756,6.4350192279955,6.95330008346638,6.46559133277859,6.94967564259595,6.86750946445971,7.28784091408191,6.79174783549084,7.0437882695986,6.19555391767952,6.97023520489788,6.66334514615208
"Atp10b",6.52797348874917,6.79393949463213,6.19555391767952,6.44178276476761,6.77583383999065,6.88742723143671,6.19555391767952,6.19555391767952,6.38529461339979,6.19555391767952,6.19555391767952,6.47673762481245,6.53562611423998
"Atp10d",6.62407866008228,6.19555391767952,6.19555391767952,6.33782915330226,6.19555391767952,6.19555391767952,6.45522198370321,6.50922483596796,6.52372337838613,6.6899440221764,6.41333964785737,6.63909950712237,6.30331828006611
"Atp11a",7.9334792528074,7.94729726387361,8.13596084019482,7.68164408544068,8.33985943645606,7.80524093137376,7.78320675563556,7.8201825403899,8.08494406809018,7.99980241212336,8.86005442041434,7.97941566147338,7.89037557808027
"Atp11b",7.73130301730302,7.72605709178275,7.95659820745794,8.0139387821198,7.742904636252,7.91023241598312,7.88714284855656,7.70731942987073,7.90508340049969,8.05203785070318,8.19951724875892,7.89829479189495,7.68001569957723
"Atp11c",6.93247463040614,6.72122999095027,6.19555391767952,6.70607463518929,6.88716419791508,7.06991710987103,6.7731089683594,6.37688942489866,6.87390081284599,6.54599140129956,6.84405803158884,6.98233470708487,6.83699401864736
"Atp13a1",8.0917115946126,8.27267151401522,8.20106930525178,8.21353369586225,8.0419008187671,7.92758111900049,8.1871990537539,8.3326208504829,8.33501630431552,8.32669296459431,7.98002031418186,8.34689029744626,7.99563135923313
"Atp13a2",9.32434946775301,8.98841585784958,9.31289423405227,9.03053154704433,9.00020581330274,8.92811032515828,9.05835170820744,9.38961075374921,9.19999983801869,9.17586490320347,9.13017863024987,9.02905349137266,9.1022638706081
"Atp13a3",7.81827185493136,8.39331656699109,8.1904473230183,8.0772308467139,8.31135058212972,8.26461776501066,8.35443621402643,8.40705569688809,7.92182400267483,9.04908976125444,8.40169449586518,8.31388512260025,8.38849963801343
"Atp13a4",6.79939244866084,6.66624778690572,6.86755046618435,6.77843496806779,6.77583383999065,6.46912691312471,7.18951795796179,6.76564824754842,7.03290867483858,7.0437882695986,6.76853481083849,6.91962404141443,6.86273737635476
"Atp13a5",6.70185505932378,6.72122999095027,6.19555391767952,6.87194653734796,6.19555391767952,6.92546607119681,7.17043025295174,6.86838188180244,6.72955493122573,6.6899440221764,6.41333964785737,7.15345269545993,6.69857916866961
