tissue,gene,lfc,padj,logpadj,comparison,direction
DG,Eftud2,0.046698419398972256,0.9365770488971441,0.02845648894071194,yoked vs. trained,NS
DG,Egfem1,0.28700779680373156,0.8352417316040333,0.07818781492540902,yoked vs. trained,NS
DG,Egfl7,-0.13829521398958727,0.9415938671876026,0.026136378812940043,yoked vs. trained,NS
DG,Egfr,-0.17147258411421007,0.9327035255258446,0.03025638164442958,yoked vs. trained,NS
DG,Egln1,-0.055930981711932934,0.9365770488971441,0.02845648894071194,yoked vs. trained,NS
DG,Egln2,0.063433145041639,0.9365770488971441,0.02845648894071194,yoked vs. trained,NS
DG,Egln3,0.4187340744556383,0.870952953154487,0.06000530393290719,yoked vs. trained,NS
DG,Egr1,1.584887122071809,0.005450500806368409,2.263563591769252,yoked vs. trained,trained
DG,Egr2,1.8481727312692766,0.2063580734055658,0.6853785354277149,yoked vs. trained,NS
DG,Egr3,0.7725522090279633,0.015686835472978725,1.8044646584039663,yoked vs. trained,trained
DG,Egr4,2.037894378790965,1.6720889223217732e-4,3.7767406303379274,yoked vs. trained,trained
DG,Ehbp1,-0.01630985233757535,0.9893328589860176,0.004657566340238102,yoked vs. trained,NS
DG,Ehbp1l1,-0.2850028091549789,0.7672024710925877,0.11509000701029848,yoked vs. trained,NS
DG,Ehd1,-0.304034192743522,0.30698731894047276,0.5128795640274523,yoked vs. trained,NS
DG,Ehd2,-0.437163504508608,0.769169164229884,0.11397813482518518,yoked vs. trained,NS
DG,Ehd3,-0.1297427857627209,0.6732141370072682,0.17184677273218685,yoked vs. trained,NS
DG,Ehd4,0.47190947063399535,0.8019799387274268,0.0958364953180158,yoked vs. trained,NS
DG,Ehmt1,0.10498875269049632,0.8997043667279243,0.045900171661258045,yoked vs. trained,NS
DG,Ehmt2,-0.12001723655428474,0.7507652601982902,0.12449583148655094,yoked vs. trained,NS
DG,Ei24,-0.05201919344765755,0.9577080695205985,0.018766853257139185,yoked vs. trained,NS
DG,Eid1,-0.2200015939644736,0.6026777968818937,0.21991480798338184,yoked vs. trained,NS
DG,Eid2,-0.21606530556180006,0.743385477535135,0.12878592735108094,yoked vs. trained,NS
DG,Eid2b,-0.19505453128519792,0.9019774016681799,0.04480434322718669,yoked vs. trained,NS
DG,Eif1,0.04577032137826103,0.9365770488971441,0.02845648894071194,yoked vs. trained,NS
DG,Eif1a,0.4763003578310807,0.5956134838179173,0.2250354790168545,yoked vs. trained,NS
DG,Eif1ad,-0.03176784128056748,0.9893231973595489,0.004661807593838665,yoked vs. trained,NS
DG,Eif1ax,-0.04369303177087656,0.9409339489612997,0.02644086181018635,yoked vs. trained,NS
DG,Eif1b,-0.20965452758694564,0.7098063602410677,0.14886011346232883,yoked vs. trained,NS
DG,Eif2a,-0.09359773799147209,0.9227965241399537,0.034894049987182686,yoked vs. trained,NS
DG,Eif2ak1,0.06934093748491321,0.927175894088568,0.03283786824421135,yoked vs. trained,NS
DG,Eif2ak2,0.0021223428093480675,0.9984477037346111,6.746774875914091e-4,yoked vs. trained,NS
DG,Eif2ak3,0.39756794178370614,0.6481675001475811,0.18831274877499207,yoked vs. trained,NS
