"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"Arsj",7.03078858305184,6.88117748980138,6.74109501664983,6.53399113357705,7.02020712838249,7.04056682557875,6.55261108513661,6.64659115321666,6.79517658115293,6.58479496152129,6.8462011860008,6.99513624612162,6.88840142871333,6.44864432228325
"Arsk",6.45889478947941,6.43347104854207,6.36704507891611,6.45068084924699,6.36295265533239,6.62740891170953,6.13512431542989,6.45520219334268,6.79517658115293,5.90418219343334,6.54415319264618,6.49934354905962,6.7344150759298,6.44864432228325
"Art2b",6.14748424941518,6.22943564982206,6.17217832696059,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.22359813918659,5.90418219343334,5.90418219343334,6.27567927972883,5.98356341014031,6.3124615145274,5.90418219343334
"Art3",6.28819788569228,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.24001600156615,5.90418219343334,5.90418219343334,6.15492990143128,5.90418219343334,5.90418219343334,6.25834063326929,5.90418219343334,6.34960526491837
"Art4",5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.16979556208309,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334
"Artn",5.90418219343334,5.90418219343334,6.36704507891611,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.03584373274964,6.11404656150459,6.04067898002947,5.90418219343334
"Arv1",6.66561451824885,6.52354757956377,7.09957124970136,6.65674557877954,6.84638398888735,6.62740891170953,6.72656557457081,6.82178935863812,6.51459614637335,6.58479496152129,6.75544160766406,6.6997948348374,6.61937873741173,6.83651581711263
"Arvcf",7.44560784574019,7.17952993366564,7.31703012120103,7.42740907420336,7.33737613834395,7.43986730281941,7.09354968194022,7.47333889412266,7.1456950366709,7.23082785899283,7.32973991174742,7.55863067473026,7.65247570176737,7.61811079742511
"Arx",6.11495025076103,6.27948924657438,6.17217832696059,6.22095645679439,6.27928948735446,6.34318958558606,6.41840957853921,6.35499142579098,6.15492990143128,6.46159435657705,6.3585492573308,6.24025030462138,6.72370635117588,6.83651581711263
"Arxes1",7.89676463943216,7.97272735821859,7.31703012120103,8.11448860968586,8.2092516687764,7.53668205003275,7.59629166152457,7.81162515313277,7.92388387473944,8.28514083161857,7.70681337171217,7.2705159015402,7.25364389764783,7.52108510545275
"Arxes2",7.61311942215584,7.66519857803803,7.31703012120103,7.45471933016695,7.55657479110596,7.5163135624996,7.65806784497125,7.2663974619239,7.58311122398348,8.38963708660331,7.39039281872414,7.45202697484374,7.27147849801886,7.86980917644077
"As3mt",6.35802458728672,6.22943564982206,6.28264499205789,6.45068084924699,6.43319087896101,6.50985044727678,6.51135915942339,6.13027353638698,6.33740726396399,6.58479496152129,6.50342356544495,6.55804462618753,6.6439534749438,6.34960526491837
