,R,G,B,hex_val,hls_val
Ndufs4,0.2712230171629399,0.18278042632069902,0.8012997318959123,#452fcc,#452fcc
Ndufs5,0.9923330527297975,0.63553458702451,0.3633116003567681,#fda25d,#fda25d
Ndufv1,0.9999178882438757,0.6421833994779755,0.36788313936976735,#ffa45e,#ffa45e
Necap1,0.29422639801101075,0.49035778397519664,0.8175316459696277,#4b7dd0,#4b7dd0
Neurl4,0.9957506004476169,0.6411048547403466,0.36874855858804617,#fea35e,#fea35e
Neurod2,0.1905608833626017,0.12490399980658441,0.009960692653918649,#312003,#c27f0a
Nexn,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e
Nfam1,0.20388721442852586,0.00639995738185631,0.004691155813603923,#340201,#c70605
Nfil3,0.04733018085760542,0.9791428230190841,0.2901979999945462,#0cfa4a,#0cfa4a
Ngrn,0.9588283213594723,0.6095442168639159,0.35499840660583254,#f59b5b,#f59b5b
Nkrf,0.2579577178448759,0.20376542330601466,0.8864596511618595,#4234e2,#4234e2
Nkx2-2,0.018097922686662906,0.8263862716232887,0.18321408256383614,#05d32f,#05d32f
Npas4,0.04733018085760542,0.9791428230190841,0.2901979999945462,#0cfa4a,#0cfa4a
Nppa,0.01018278933527793,0.9965277653010728,0.30959494117336844,#03fe4f,#03fe4f
Nptx2,0.6687990954741945,0.681573732446477,0.3844984425331139,#abae62,#abae62
Npy1r,0.00906719563011729,0.8517196577068468,0.20459431105146095,#02d934,#02d934
Npy5r,0.2019894917823149,0.4342005069580164,0.814804203938455,#346fd0,#346fd0
Nr2f1,0.27008054541230647,0.21343190253688754,0.9378816377301843,#4536ef,#4536ef
Nr4a1,0.024295660309575803,0.9805824326732853,0.30954588339918304,#06fa4f,#06fa4f
Nr4a2,0.011033503334862955,0.9952377578320849,0.31432913969338294,#03fe50,#03fe50
Nr4a3,0.009549729859365242,0.9489857639537906,0.4387541265417008,#02f270,#02f270
Nrg2,0.345124898585671,0.4495083338784152,0.2808934142833613,#587348,#607e4e
Nrip1,0.20491690573505014,0.434740075383638,0.8133560267927472,#346fcf,#346fcf
Nsf,0.7141394708787117,0.6652018452173328,0.38510947622678865,#b6aa62,#b6aa62
Nsmaf,0.46355534316199976,0.3514477501747288,0.13192557749085806,#765a22,#9f782d
Ntpcr,0.1634762030370481,0.7872366916442268,0.3524348460519931,#2ac95a,#2ac95a
Nuak1,0.01739639250118277,0.9459418294668687,0.44490692830019946,#04f171,#04f171
Nuf2,0.26587576378185473,0.23463498759842563,0.9479868733834497,#443cf2,#443cf2
Numb,0.01739639250118277,0.9459418294668688,0.4449069283001994,#04f171,#04f171
Nup50,0.9999178882438757,0.6421833994779755,0.36788313936976735,#ffa45e,#ffa45e
Nupr1,0.21566405782507478,0.079197400155679,0.01710624222217853,#371404,#bd450f
Odf4,0.0011653572222715936,0.9986854031857095,0.3006139790303201,#00ff4d,#00ff4d
Olfml2b,0.2038175914698349,6.521710474968065e-17,0.012359754382299025,#340003,#cc000c
Olfr635,0.23257389923382152,0.06705220489936022,0.31635801380412654,#3b1151,#7c24a8
Orc5,0.9961554288212602,0.6412513640475247,0.3683105308049654,#fea45e,#fea45e
Otog,0.20664763497110322,0.45022292827654437,0.8529128805418784,#3573d9,#3573d9
Otud1,0.015761138544843702,0.9469164624684634,0.4438785890415379,#04f171,#04f171
Oxr1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e
Pak6,0.9875691681558173,0.6366532149714328,0.3785785079424643,#fca261,#fca261
Palb2,0.2035054297235749,0.43301259610481346,0.8109714842399794,#346ecf,#346ecf
Parg,0.9999178882438754,0.6421833994779755,0.36788313936976735,#ffa45e,#ffa45e
Pcdh8,0.20329360567720725,0.0009141928454937243,0.012707367898370335,#340003,#cb010d
Pdia4,0.25653191374330997,0.20104142176161302,0.8820742242951479,#4133e1,#4133e1
Peli1,0.20270672729274228,0.002336611526103229,0.021487174588083215,#340105,#ca0215
Per1,0.05400569898662251,0.9764340490760809,0.2874500817429394,#0ef949,#0ef949
Phlda1,0.015426626103591733,0.9720622996295493,0.3334824938908903,#04f855,#04f855
Phtf1,0.2855131532511217,0.27502171210131915,0.9300630572899463,#4946ed,#4946ed
Pick1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e
Pigb,0.3767132317526441,0.43676275265452225,0.7050051596546726,#606fb4,#606fb4
Pigm,0.6705747033992062,0.6850249460823116,0.3800963822121126,#abaf61,#abaf61
Pira2,1.172126589154816e-16,1.0,0.30481290611285183,#00ff4e,#00ff4e
Pkd1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e
Plagl1,0.001599065722571066,0.9981030424951587,0.3041615696192604,#00ff4e,#00ff4e
Pld6,0.2700954581922983,0.23856745152632347,0.9939928037193227,#453dfd,#453dfd
Plekho1,0.9947025097435325,0.6394172824323904,0.37240518381877263,#fea35f,#fea35f
Plk2,0.009379045165099338,0.9499668652844413,0.4371213073929277,#02f26f,#02f26f
Plk3,0.011033503334862955,0.9952377578320849,0.31432913969338294,#03fe50,#03fe50
Pmm2,0.345124898585671,0.4495083338784152,0.2808934142833612,#587348,#607e4e
Pnp,0.024295660309575803,0.9805824326732853,0.30954588339918304,#06fa4f,#06fa4f
Pnpt1,0.20265687350039369,0.004029905762342654,0.030320932847901105,#340108,#c8041e
Poc5,0.9966561306378102,0.6411903453942028,0.3702773499236475,#fea45e,#fea45e
Polr2d,0.29422639801101075,0.49035778397519664,0.817531645969628,#4b7dd0,#4b7dd0
Ppat,0.3052723665203002,0.44690600593130075,0.28315970244878985,#4e7248,#557d4f
Ppic,0.26892304806120093,0.22195097310053402,0.9174224369406826,#4539ea,#4539ea
Ppm1d,0.26575498225501754,0.23763304127152815,0.9844115720728864,#443dfb,#443dfb
Ppp1r15a,0.01576113854484376,0.9469164624684634,0.4438785890415378,#04f171,#04f171
Ppp2r2a,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e
Ppp6c,0.20265687350039369,0.004029905762342654,0.030320932847901105,#340108,#c8041e
