,hls_val,gene,candy,top
Hrh3,#73fd68,Hrh3,X,X
Hs6st1,#668cff,Hs6st1,X,X
Hspa1a,#66ff6a,Hspa1a,X,X
Hspa1b,#66ff66,Hspa1b,X,X
Hspb3,#66f8ff,Hspb3,X,X
Hsph1,#ff666c,Hsph1,X,X
Htr5b,#66ff66,Htr5b,X,X
Ier3,#ff666b,Ier3,X,X
Ifrd1,#ff666b,Ifrd1,X,X
Igf2r,#88b0dd,Igf2r,X,X
Ighv5-17,#67fe79,Ighv5-17,X,X
Ikbip,#66ff68,Ikbip,X,G
Ikzf1,#66ff66,Ikzf1,X,X
Il16,#b466ff,Il16,X,X
Il34,#66fff8,Il34,X,X
Il3ra,#66ff66,Il3ra,X,X
Ildr1,#aee481,Ildr1,X,X
Ilvbl,#66ff94,Ilvbl,X,X
Impg2,#66ff66,Impg2,X,G
Ing2,#ff666c,Ing2,X,X
Ipmk,#ff6697,Ipmk,X,X
Iqcg,#66ff95,Iqcg,X,X
Iqub,#6670ff,Iqub,X,X
Irf9,#7a66ff,Irf9,X,X
Irs1,#ff666c,Irs1,X,X
Irs2,#ff666c,Irs2,X,X
Iscu,#66ff68,Iscu,X,G
Itga7,#7a66ff,Itga7,X,X
Itgam,#66ffe6,Itgam,X,X
Itgb7,#7766ff,Itgb7,X,X
Jade3,#66fff8,Jade3,X,X
Jag1,#ff6669,Jag1,X,X
Jdp2,#826bfa,Jdp2,X,X
Jmjd1c,#bcfd68,Jmjd1c,X,X
Jun,#ff666b,Jun,X,X
Junb,#ff666b,Junb,X,X
Jund,#ff666b,Jund,X,X
K230010J24Rik,#8f88dd,K230010J24Rik,X,X
Katnal1,#666aff,Katnal1,X,X
Kazn,#6e88f7,Kazn,X,X
Kcna4,#ff666b,Kcna4,X,X
Kcnj2,#ff666b,Kcnj2,X,X
Kcnma1,#66a0ff,Kcnma1,X,X
Kctd12,#ff666c,Kctd12,X,X
Kctd6,#67fe7b,Kctd6,X,X
Kctd8,#66ff66,Kctd8,X,X
Kdm6b,#ff666b,Kdm6b,X,X
Keap1,#66ff66,Keap1,X,X
Khdrbs2,#66ff68,Khdrbs2,X,G
Klf16,#ff66c1,Klf16,X,X
Klf2,#ff666b,Klf2,X,X
Klf8,#66ffeb,Klf8,X,X
Klhdc2,#95e77e,Klhdc2,X,X
Klhl21,#ff666b,Klhl21,X,X
Klhl26,#67fe67,Klhl26,X,G
Knop1,#ff666b,Knop1,X,X
Krba1,#9866ff,Krba1,X,X
Krcc1,#67ccfe,Krcc1,X,X
L3hypdh,#ff666b,L3hypdh,X,R
Lat,#7a66ff,Lat,X,X
Lats1,#67fe67,Lats1,X,G
Lbh,#6afe67,Lbh,X,X
Lgals1,#666aff,Lgals1,X,B
Lgmn,#66ff66,Lgmn,X,X
Lif,#66ffeb,Lif,X,X
Lin7c,#7769fc,Lin7c,X,X
Lmo7,#66ff66,Lmo7,X,X
Lonrf1,#ff666b,Lonrf1,X,X
Lrrc10b,#66ff66,Lrrc10b,X,X
Lrrc48,#66ff66,Lrrc48,X,X
Lsm7,#66ff66,Lsm7,X,X
Lyrm2,#6670ff,Lyrm2,X,X
Lysmd3,#66ff66,Lysmd3,X,X
Lysmd4,#66ffeb,Lysmd4,X,X
M1ap,#aee481,M1ap,X,X
Malsu1,#68fd80,Malsu1,X,X
Maml2,#66ffb0,Maml2,X,X
Mamld1,#66ffeb,Mamld1,X,X
Mapkapk2,#ff8466,Mapkapk2,X,X
Mapre1,#ff666c,Mapre1,X,X
March11,#ff666c,March11,X,X
Mcl1,#ff666b,Mcl1,X,R
Mea1,#66ff67,Mea1,X,G
Mest,#ff666b,Mest,X,X
Mettl7a1,#66f8ff,Mettl7a1,X,X
Mfap1a,#66fff8,Mfap1a,X,X
Mfap3l,#66ffeb,Mfap3l,X,X
Mgst3,#66ff66,Mgst3,X,X
Minpp1,#66ff6b,Minpp1,X,X
Mis12,#66ffeb,Mis12,X,X
Mkks,#66ff66,Mkks,X,X
Mmp12,#aee481,Mmp12,X,X
Mn1,#66ffeb,Mn1,X,X
Mobp,#66ffd9,Mobp,X,X
Mrpl42,#66ff8e,Mrpl42,X,X
Mrps16,#66ff66,Mrps16,X,X
Mrps23,#66fff8,Mrps23,X,X
Mrps26,#66ff68,Mrps26,X,G
Msmo1,#bdcc99,Msmo1,X,X
Mtch2,#ff666b,Mtch2,X,R
Mtrf1,#7a66ff,Mtrf1,X,X
Myd88,#66ffeb,Myd88,X,X
Myeov2,#66ff66,Myeov2,X,X
Myl12b,#66ffeb,Myl12b,X,X
Myom1,#66ffeb,Myom1,X,X
Naa30,#7966ff,Naa30,X,X
Nab2,#66ff66,Nab2,X,X
Naf1,#e366ff,Naf1,X,X
Nap1l5,#ff666b,Nap1l5,X,R
Ndnl2,#ff666c,Ndnl2,X,X
Ndufs4,#ff66b2,Ndufs4,X,X
Ndufs5,#66ffd4,Ndufs5,X,X
Ndufv1,#66ff66,Ndufv1,X,X
Necap1,#66ff66,Necap1,X,X
Neurl4,#66ff66,Neurl4,X,X
Neurod2,#ff666b,Neurod2,X,X
Nexn,#ff669a,Nexn,X,X
Nfam1,#7a66ff,Nfam1,X,X
Nfil3,#ff666b,Nfil3,X,R
Ngrn,#ff666c,Ngrn,X,X
Nkrf,#ff666c,Nkrf,X,X
Nkx2-2,#ff666b,Nkx2-2,X,X
Npas4,#ff666b,Npas4,O,R
Nppa,#6df8f8,Nppa,X,X
Nptx2,#ff666c,Nptx2,X,X
Npy1r,#6687ff,Npy1r,X,X
Npy5r,#66ff66,Npy5r,X,X
Nr2f1,#66ff66,Nr2f1,X,X
Nr4a1,#ff666b,Nr4a1,X,R
Nr4a2,#ff666b,Nr4a2,X,R
Nr4a3,#ff666b,Nr4a3,X,R
Nrg2,#6afbb8,Nrg2,X,X
Nrip1,#66ff6a,Nrip1,X,X
Nsf,#66ff66,Nsf,O,X
Nsmaf,#66f8ff,Nsmaf,X,X
Ntpcr,#7c66ff,Ntpcr,X,X
Nuak1,#ff666b,Nuak1,X,R
Nuf2,#676ffe,Nuf2,X,X
Numb,#66ff9a,Numb,O,X
Nup50,#ff666b,Nup50,X,R
Nupr1,#66f8ff,Nupr1,X,X
Odf4,#aee481,Odf4,X,X
Olfml2b,#ff6680,Olfml2b,X,X
Olfr635,#abe481,Olfr635,X,X
Orc5,#66ffeb,Orc5,X,X
Otog,#66ffeb,Otog,X,X
Otud1,#ff666b,Otud1,X,R
Oxr1,#66ff66,Oxr1,X,X
Pak6,#fe676c,Pak6,X,X
Palb2,#66ff68,Palb2,X,G
Parg,#66ff66,Parg,X,X
Pcdh8,#ff666b,Pcdh8,X,X
Pdia4,#66fff8,Pdia4,X,X
Peli1,#ff666b,Peli1,X,X
Per1,#ff666b,Per1,X,X
Phlda1,#ff666b,Phlda1,X,R
Phtf1,#66ff66,Phtf1,X,X
Pick1,#66fff8,Pick1,O,X
Pigb,#b566ff,Pigb,X,X
Pigm,#ff66b3,Pigm,X,X
Pira2,#aee481,Pira2,X,X
Pkd1,#66ff66,Pkd1,X,X
Plagl1,#ff666b,Plagl1,X,R
Pld6,#66ff66,Pld6,X,X
Plekho1,#ff666c,Plekho1,X,X
Plk2,#ff666b,Plk2,X,X
Plk3,#ff666b,Plk3,X,X
Pmm2,#6869fd,Pmm2,X,B
Pnp,#666aff,Pnp,X,B
Pnpt1,#ff666b,Pnpt1,X,X
Poc5,#66ff66,Poc5,X,X
Polr2d,#66ff66,Polr2d,X,X
Ppat,#ff666b,Ppat,X,X
Ppic,#b266ff,Ppic,X,X
Ppm1d,#ff666b,Ppm1d,X,X
Ppp1r15a,#ff666b,Ppp1r15a,X,X
Ppp2r2a,#de879b,Ppp2r2a,X,X
Ppp6c,#ff666c,Ppp6c,X,X
Prep,#66fff8,Prep,X,X
Prickle2,#ff666b,Prickle2,X,X
Prkcb,#66ffeb,Prkcb,O,X
Prkci,#66ff95,Prkci,O,X
Prkcz,#6b66ff,Prkcz,O,B
Prmt3,#66ffeb,Prmt3,X,X
Prnp,#6c67fe,Prnp,X,B
Prokr2,#66ff66,Prokr2,X,X
Prom2,#fb6a80,Prom2,X,X
Prpf38b,#ff666b,Prpf38b,X,X
Prr15,#66ff66,Prr15,X,X
Psmb8,#dedd87,Psmb8,X,X
Psmc3,#66ff66,Psmc3,X,X
