,gene,PC1 PCor,p-value,IEG
165,Ing2,0.64245040967602,0.013224495542548828,
166,Ski,0.6410073162232989,0.013499510903099027,
167,Jmjd1c,0.6407884340378195,0.013541603080372925,
168,Heca,0.638490211120346,0.013989647799415396,
169,Zc3h12c,0.6359684387952266,0.0144942117784631,
170,Hspa1a,0.6359567935171443,0.014496573561139382,
171,Sowahc,0.6358988553006544,0.014508328396116944,
172,Sh2d3c,0.635887346441493,0.014510664244712887,
173,Rnf128,0.6334404537800453,0.015013842033547118,
174,Cldn12,0.6330118215893905,0.015103337656669543,
175,Hsp90aa1,0.6314902206476162,0.015424325940322779,
176,Tsc22d2,0.629707939389753,0.015806885821140603,
177,Stmn4,0.6281908279113313,0.01613818275562978,
178,Lcmt2,0.6275305610484923,0.016284006154947985,
179,Erf,0.6271088808635978,0.016377659476092796,
180,Rap2a,0.6239464257671542,0.017093144461305446,
181,Bach1,0.6184991260034806,0.018380926982035528,
182,Il16,0.6184014862172991,0.018404661067006705,
183,Arid5b,0.6179175820348013,0.01852263046253295,
184,Mcl1,0.6170834847357861,0.018727315980415847,
185,Ankrd13a,0.6168073259563102,0.018795460725937966,
186,Slitrk5,0.6129462589147987,0.019768012622937352,
187,B3gnt2,0.6126211606811933,0.019851603086833567,
188,Lmna,0.60664073483595,0.021437490244825493,
189,Wdr45b,0.6023834019624111,0.022623342646995264,
190,Cdkn1a,0.5958209457056086,0.024547105588038323,
191,Arl13b,0.5934163912684239,0.025281849999430075,
192,Mtmr12,0.5911652279831567,0.025984549117961192,
193,Usp27x,0.5880560683224306,0.026978990707902453,
194,Irf2bp2,0.5877842430302396,0.027067264822309745,
195,Nefm,0.5851289278766412,0.027940964267504885,
196,Sox9,0.5808413442229233,0.029395965805726707,
197,Dusp14,0.5791552173880891,0.029983352752001154,
198,Jdp2,0.5783461906728424,0.030268271087206613,
199,Aste1,0.5782298024321252,0.03030942522105638,
200,Arhgef3,0.5741271816949908,0.03178686624566813,
201,Pou3f3,0.5737208022892899,0.03193606983438365,
202,Slc6a6,0.5720148647473701,0.03256809041734176,
203,Arid1a,0.5695103514667309,0.033512720867154386,
204,Ctnnd1,0.5694583597064823,0.03353254332199056,
205,Serp1,0.5617894789477718,0.03655274015439312,
206,Ankrd28,0.5583091335464626,0.03798768680832033,
207,Gmeb2,0.5561829078005383,0.03888450466111356,
208,Odc1,0.5542005849538181,0.039734573685989164,
209,Lemd3,0.5530077362924747,0.0402526361499813,
210,Rnf217,0.5528749785389895,0.04031059916018602,
211,Peg10,0.5527956428500961,0.04034526696721542,
212,Zfp711,0.5460070391481587,0.043393668739392356,
213,Myc,0.5445811694376802,0.04405479289672815,
214,Slc2a1,0.5410183001037235,0.045738943541212225,
215,Gad1,0.5392411564101529,0.046596338377056665,
216,Med7,0.5387391111949699,0.04684066259983529,
217,Kdm7a,0.538577332258486,0.04691959221695731,
218,Fam118a,0.5333074194595687,0.04954409206219503,
219,Dusp5,0.5235269444303858,0.05469522844015014,
220,P4ha1,0.5131288162564065,0.06058482680474579,
221,Klf7,0.5106384018521699,0.062060453280995215,
222,Bag3,0.5049141170367099,0.0655496544171888,
223,Tgfb3,0.49855504145638807,0.06958772070727424,
224,Cpeb2,0.49749661741416307,0.07027662163517884,
225,Nedd9,0.47872756797162286,0.0833117044848087,
226,Per2,0.4763310828520671,0.08509022952474482,
227,Ntrk2,0.4624227766550291,0.09594000674794428,
228,Btg3,0.43977477903424866,0.11560077734477549,
229,Gadd45a,0.43149523666559003,0.12342666325510689,
230,Vcl,0.413652256792243,0.14149295648312002,
231,Slc45a4,0.4133247122976978,0.14184017883877756,
232,Traip,-0.4479809655922117,0.10818507224373149,
233,Mrps31,-0.4511471874111389,0.10541329785388956,
234,Tspyl3,-0.4857435585366843,0.07825525089862251,
235,Knop1,-0.5333489698904315,0.04952299110166869,
236,Hmgn2,-0.5352463441696671,0.04856637319877763,
237,Lrrc45,-0.541172483626289,0.045665103666734985,
238,2410002F23Rik,-0.5473761676540764,0.0427657172351662,
239,Rnaseh1,-0.5525966500775815,0.04043231844985098,
240,Dvl2,-0.5584571526863051,0.0379258267134309,
241,Sec61b,-0.5616867498080524,0.036594513233645064,
242,Chrd,-0.5644510879234972,0.03548266564197841,
243,Zfp949,-0.5864470558145092,0.02750465804579125,
244,Zfp791,-0.6012584987245513,0.02294476167569754,
245,Fbxl2,-0.6045289753571286,0.02201969611463669,
246,Tubb4a,-0.6097678072667079,0.0205967803985539,
247,Srek1ip1,-0.6125850120431904,0.019860914239014656,
248,Tmem167,-0.6285829217162396,0.01605205827159563,
249,Irf9,-0.6298531433360116,0.0157754508139377,
250,Ankrd27,-0.6309751992719894,0.01553414062862747,
251,Ccar2,-0.6313898642404905,0.015445677751532532,
252,Pxn,-0.664067938523153,0.009595727665096419,
253,Zfp207,-0.6714502561167442,0.008551693171930549,
254,Zfp668,-0.680050897419649,0.007448610618931198,
255,Pigb,-0.69248291206594,0.0060529123832639255,
256,Vamp1,-0.6972311429546318,0.005577294332582762,
257,Coq2,-0.7291285823086392,0.003088259547234333,
258,Lysmd4,-0.7355793193373585,0.0027139559732623653,
259,Tmem50a,-0.7734934047071467,0.0011730139744861136,
260,Rfx7,-0.7796264316064525,0.0010093081810513094,
261,Ccdc32,-0.7810177228812236,0.0009748456997191212,
262,Cecr6,-0.7946833982943171,0.0006837297867971692,
