,R,G,B,hex_val,gene,candy
Zfp24,0.9812066407010711,0.39996000000000004,0.418653359298929,#fa666b,Zfp24,X
Zfp26,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Zfp26,X
Zfp276,0.4679730693069307,0.4015714851485149,0.9268554455445545,#7766ec,Zfp276,X
Zfp281,0.9800383057448881,0.39996000000000004,0.419821694255112,#fa666b,Zfp281,X
Zfp385b,0.46469375,0.5021187500000001,0.8295875,#7680d4,Zfp385b,X
Zfp52,0.36004,0.6363497674418606,0.6237902325581396,#5ca29f,Zfp52,X
Zfp553,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Zfp553,X
Zfp59,0.36004,0.6363497674418606,0.6237902325581396,#5ca29f,Zfp59,X
Zfp654,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Zfp654,X
Zfp655,0.9790325217391305,0.39996000000000004,0.4208274782608696,#fa666b,Zfp655,X
Zfp668,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,Zfp668,X
Zfp799,0.9790325217391305,0.39996000000000004,0.4208274782608696,#fa666b,Zfp799,X
Zfp804b,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Zfp804b,X
Zfp869,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Zfp869,X
Zfp87,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Zfp87,X
Zfp937,0.7575827707317073,0.40113061463414634,0.6411066146341463,#c166a3,Zfp937,X
Zfp950,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Zfp950,X
Zfp994,0.39964,0.9930873620862588,0.40565263791374123,#66fd67,Zfp994,X
Zkscan8,0.9790325217391305,0.39996000000000004,0.4208274782608696,#fa666b,Zkscan8,X
Zmym2,0.36012,0.6741781395348838,0.5862418604651163,#5cac95,Zmym2,X
Zranb1,0.3602,0.6994581395348837,0.5612418604651163,#5cb28f,Zranb1,X
Zscan2,0.5877746198830409,0.40022426900584795,0.8103811111111111,#9666cf,Zscan2,X
