,R,G,B,hex_val,hls_val
Smg9,0.6115434248198839,0.2876092366477451,0.666758944569216,#9c49aa,#9c49aa
Smndc1,0.9617963385279243,0.8412151924330977,0.16264937459939316,#f5d729,#f5d729
Snrpd2,0.29472536413174844,0.23834012652401432,0.04311313501432522,#4b3d0b,#b2901a
Snx18,0.9652984637343519,0.8437163812504399,0.167524603692331,#f6d72b,#f6d72b
Snx4,0.8933357666778022,0.3952689943331268,0.90542156923073,#e465e7,#e465e7
Sorcs2,0.9279026263438203,0.4611464321550517,0.8450251594181392,#ed76d7,#ed76d7
Sos1,0.06223116417031291,0.8773661994707755,0.7380834869310564,#10e0bc,#10e0bc
Sowahc,0.0030925711458012098,0.9892953504776804,0.6127828166694986,#01fc9c,#01fc9c
Spata2l,0.9362727233793614,0.7565662305379873,0.25500190227136177,#efc141,#efc141
Spcs3,0.9249416630402854,0.4549080544404731,0.853152765690008,#ec74da,#ec74da
Specc1l,0.0018340948607530605,0.9777581714398643,0.6147322852039716,#00f99d,#00f99d
Spin2c,0.9652984637343519,0.8437163812504399,0.167524603692331,#f6d72b,#f6d72b
Sptlc2,0.6476479722857145,0.1954461442732853,0.9945493247460939,#a532fe,#a532fe
Spty2d1,0.9998319163700788,0.7959846446648194,0.32740435548218066,#ffcb53,#ffcb53
Srek1ip1,0.09711655960544993,0.7562064678194254,0.5864799906417942,#19c196,#19c196
Srf,0.9999999999999999,0.7952685942554011,0.32862381448688616,#ffcb54,#ffcb54
Srgap1,0.20210680181751195,1.0,0.4480636577574965,#34ff72,#34ff72
Ssna1,0.9991146852789542,0.7990783547599587,0.3196382886442807,#ffcc52,#ffcc52
Ssxb2,0.4088226862982111,0.27361154946852634,0.4044038319287258,#684667,#7a5279
Stard3nl,0.7536773028849284,0.3068700615065662,0.9174497879660456,#c04eea,#c04eea
Stmn4,0.002084975715247645,0.9793636583436773,0.6138277373574316,#01fa9d,#01fa9d
Stx2,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
Sumf2,0.7330882680096149,0.42455946017372115,0.3813762448181872,#bb6c61,#bb6c61
Suv39h1,0.06236776619098996,0.8787722292265395,0.7381310667019076,#10e0bc,#10e0bc
Syt4,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
Syt5,0.9279026263438203,0.4611464321550517,0.8450251594181392,#ed76d7,#ed76d7
Tada2b,0.9922553946556185,0.7989069142821733,0.301366711226032,#fdcc4d,#fdcc4d
Tax1bp1,0.8232851942709116,0.37209900558187836,0.8302029934911761,#d25fd4,#d25fd4
