,Arc,Prkcz,Nsf,Fmr1,gene
Plk2,1000,35,0,1,Plk2
Plk3,1000,35,0,1,Plk3
Pmm2,10,964,19,20,Pmm2
Pnp,1,951,28,20,Pnp
Pnpt1,1000,35,0,1,Pnpt1
Poc5,0,1,983,39,Poc5
Polr2d,0,1,1000,22,Polr2d
Ppat,1000,35,0,1,Ppat
Ppic,341,684,1,20,Ppic
Ppm1d,994,33,0,1,Ppm1d
Ppp1r15a,1000,35,0,1,Ppp1r15a
Ppp2r2a,25,11,7,974,Ppp2r2a
Ppp6c,999,36,0,1,Ppp6c
Prep,0,21,22,999,Prep
Prickle2,990,32,3,5,Prickle2
Prkcb,0,20,23,999,Prkcb
Prkci,0,234,758,16,Prkci
Prkcz,35,1000,1,20,Prkcz
Prmt3,0,20,23,999,Prmt3
Prnp,36,996,4,19,Prnp
Prokr2,0,0,43,979,Prokr2
Prom2,857,151,23,1,Prom2
Prpf38b,994,33,0,1,Prpf38b
Prr15,0,1,1000,22,Prr15
Psmb8,441,120,436,0,Psmb8
Psmc3,0,1,1000,22,Psmc3
Ptger4,0,20,23,999,Ptger4
Ptgs2,1000,35,0,1,Ptgs2
Ptpn22,0,13,984,6,Ptpn22
Pxn,111,734,1,199,Pxn
Rab11fip2,0,20,23,999,Rab11fip2
Rab2a,0,0,43,979,Rab2a
Rab39b,991,36,0,1,Rab39b
Rab3b,0,1,42,980,Rab3b
Raf1,670,353,0,23,Raf1
Ranbp2,993,34,0,1,Ranbp2
Rasd1,1000,35,0,1,Rasd1
Rasl11a,336,431,248,8,Rasl11a
Rbbp5,743,146,134,0,Rbbp5
Rbbp8,0,11,986,8,Rbbp8
Rbm38,0,9,34,988,Rbm38
Rbp4,989,38,0,3,Rbp4
Rbsn,0,20,23,999,Rbsn
Rdh16,852,183,0,1,Rdh16
Rfc5,0,0,43,979,Rfc5
Rfx2,1000,35,0,1,Rfx2
Rfx7,995,32,0,1,Rfx7
Rgmb,991,36,0,1,Rgmb
Rgs2,1000,35,0,1,Rgs2
Rgs4,1000,35,0,1,Rgs4
Ripk3,319,122,558,0,Ripk3
Rnf128,612,413,1,1,Rnf128
Rnf138rt1,0,20,23,999,Rnf138rt1
Rnf149,413,272,314,0,Rnf149
Rnft1,428,114,457,0,Rnft1
Rnpc3,991,36,0,1,Rnpc3
Rom1,0,1,1000,22,Rom1
Rora,1000,35,0,1,Rora
Rorb,8,5,985,7,Rorb
Rpl21-ps4,319,122,558,0,Rpl21-ps4
Rpl36a,0,1,1000,22,Rpl36a
Rpp21,0,0,43,979,Rpp21
Rsbn1l,0,484,513,22,Rsbn1l
Rsrc1,261,764,1,20,Rsrc1
Rundc1,0,20,23,999,Rundc1
Samd11,27,977,2,20,Samd11
Samm50,0,1,1000,22,Samm50
Sbds,873,6,0,128,Sbds
Scd3,0,572,425,18,Scd3
Scg2,991,36,0,1,Scg2
Scg3,529,135,348,0,Scg3
Scrn1,0,0,43,979,Scrn1
Sdcbp,991,36,0,1,Sdcbp
Sebox,0,1,999,21,Sebox
Sec61b,488,535,2,16,Sec61b
Serp1,0,22,21,998,Serp1
Sf3b1,23,6,977,0,Sf3b1
Sgk1,999,36,0,1,Sgk1
Sgpl1,0,0,43,979,Sgpl1
Sh2d3c,991,36,0,1,Sh2d3c
Shc4,507,518,1,9,Shc4
Shmt2,0,21,22,999,Shmt2
Siah2,1000,35,0,1,Siah2
Sik1,998,33,2,1,Sik1
Slc14a1,17,7,976,0,Slc14a1
Slc16a1,994,33,0,1,Slc16a1
Slc18a2,992,35,0,1,Slc18a2
Slc18b1,0,0,45,977,Slc18b1
Slc20a2,0,2,41,981,Slc20a2
Slc23a4,0,701,0,315,Slc23a4
Slc25a25,991,36,0,1,Slc25a25
Slc2a3,991,36,0,1,Slc2a3
Slc2a5,0,649,344,17,Slc2a5
Slc35c2,0,0,43,979,Slc35c2
Slc36a4,21,586,406,17,Slc36a4
