,Arc,Prkcz,Nsf,Fmr1,gene
Hras,0,0,0,0,Hras
Hrh2,816,304,843,785,Hrh2
Hrh3,0,0,0,0,Hrh3
Hs6st1,862,268,901,863,Hs6st1
Hspa1a,977,181,880,966,Hspa1a
Hspa1b,973,169,866,968,Hspa1b
Hspb3,913,247,946,900,Hspb3
Hsph1,0,0,0,0,Hsph1
Htr5b,116,846,230,121,Htr5b
Ier3,0,0,0,0,Ier3
Ifrd1,0,0,0,0,Ifrd1
Igf2r,638,372,692,641,Igf2r
Ighv5-17,1,0,0,1,Ighv5-17
Ikbip,176,770,141,167,Ikbip
Ikzf1,902,244,943,887,Ikzf1
Il16,454,537,374,483,Il16
Il34,890,270,969,877,Il34
Il3ra,813,277,696,782,Il3ra
Ildr1,0,0,0,0,Ildr1
Ilvbl,18,534,36,12,Ilvbl
Impg2,50,856,164,49,Impg2
Ing2,0,0,0,0,Ing2
Ipmk,0,0,0,0,Ipmk
Iqcg,985,173,872,972,Iqcg
Iqub,38,839,140,47,Iqub
Irf9,44,837,138,48,Irf9
Irs1,0,0,0,0,Irs1
Irs2,0,0,0,0,Irs2
Iscu,39,827,151,43,Iscu
Itga7,82,904,209,88,Itga7
Itgam,940,179,868,953,Itgam
Itgb7,316,762,351,304,Itgb7
Jade3,906,254,953,893,Jade3
Jag1,986,172,871,971,Jag1
Jdp2,619,435,508,593,Jdp2
Jmjd1c,12,7,7,11,Jmjd1c
Jun,0,0,0,0,Jun
Junb,0,0,0,0,Junb
Jund,0,0,0,0,Jund
K230010J24Rik,116,846,230,121,K230010J24Rik
Katnal1,137,951,264,138,Katnal1
Kazn,127,771,72,130,Kazn
Kcna4,59,24,46,56,Kcna4
Kcnj2,993,171,866,964,Kcnj2
Kcnma1,882,264,961,869,Kcnma1
Kctd12,0,0,0,0,Kctd12
Kctd6,669,316,590,656,Kctd6
Kctd8,154,877,266,151,Kctd8
Kdm6b,0,0,0,0,Kdm6b
Keap1,783,325,666,752,Keap1
Khdrbs2,55,816,150,71,Khdrbs2
Klf16,398,564,349,429,Klf16
Klf2,0,0,0,0,Klf2
Klf8,785,280,833,795,Klf8
Klhdc2,356,657,403,372,Klhdc2
Klhl21,0,0,0,0,Klhl21
Klhl26,913,239,928,910,Klhl26
Knop1,0,0,0,0,Knop1
Krba1,904,240,929,913,Krba1
Krcc1,57,812,153,57,Krcc1
L3hypdh,0,0,0,0,L3hypdh
Lat,28,824,125,41,Lat
Lats1,0,0,0,0,Lats1
Lbh,0,0,0,0,Lbh
Lgals1,175,887,288,171,Lgals1
Lgmn,682,433,571,654,Lgmn
Lif,892,268,967,879,Lif
Lin7c,81,820,187,82,Lin7c
Lmo7,242,397,189,250,Lmo7
Lonrf1,0,0,0,0,Lonrf1
Lrrc10b,11,84,12,21,Lrrc10b
Lrrc48,0,0,0,0,Lrrc48
Lsm7,28,820,140,30,Lsm7
Lyrm2,990,170,869,967,Lyrm2
Lysmd3,989,171,870,968,Lysmd3
Lysmd4,369,653,290,344,Lysmd4
M1ap,0,0,0,0,M1ap
Malsu1,910,250,949,897,Malsu1
Maml2,895,265,964,882,Maml2
Mamld1,981,177,876,968,Mamld1
Mapkapk2,987,171,870,970,Mapkapk2
Mapre1,0,0,0,0,Mapre1
March11,0,0,0,0,March11
Mcl1,0,0,0,0,Mcl1
Mea1,839,277,832,804,Mea1
Mest,0,0,0,0,Mest
Mettl7a1,986,172,871,971,Mettl7a1
Mfap1a,866,294,985,853,Mfap1a
Mfap3l,996,162,857,953,Mfap3l
Mgst3,82,819,176,83,Mgst3
Minpp1,0,0,0,0,Minpp1
Mis12,0,0,0,0,Mis12
Mkks,131,817,219,136,Mkks
Mmp12,0,1,0,0,Mmp12
Mn1,996,160,857,955,Mn1
Mobp,354,602,303,381,Mobp
Mrpl42,889,271,970,876,Mrpl42
Mrps16,0,0,0,0,Mrps16
Mrps23,369,239,456,362,Mrps23
Mrps26,686,367,677,657,Mrps26
Msmo1,8,765,66,15,Msmo1
Mtch2,16,133,18,27,Mtch2
Mtrf1,940,190,883,904,Mtrf1
Myd88,995,163,860,956,Myd88
Myeov2,645,328,596,675,Myeov2
Myl12b,970,190,889,957,Myl12b
Myom1,743,308,711,761,Myom1
Naa30,44,860,161,49,Naa30
Nab2,55,769,133,57,Nab2
Naf1,755,365,864,742,Naf1
Nap1l5,0,0,0,0,Nap1l5
Ndnl2,0,0,0,0,Ndnl2
Ndufs4,0,0,0,0,Ndufs4
Ndufs5,817,195,754,833,Ndufs5
Ndufv1,25,121,25,34,Ndufv1
Necap1,461,241,440,478,Necap1
Neurl4,41,831,139,38,Neurl4
Neurod2,0,0,0,0,Neurod2
Nexn,0,0,0,0,Nexn
Nfam1,239,863,344,237,Nfam1
Nfil3,978,155,848,945,Nfil3
Ngrn,0,9,0,0,Ngrn
Nkrf,0,0,0,0,Nkrf
Nkx2-2,0,0,0,0,Nkx2-2
Npas4,0,0,0,0,Npas4
Nppa,989,171,870,968,Nppa
Nptx2,0,0,0,0,Nptx2
Npy1r,964,196,895,951,Npy1r
Npy5r,0,0,0,0,Npy5r
Nr2f1,427,50,403,417,Nr2f1
Nr4a1,6,3,8,13,Nr4a1
Nr4a2,0,0,0,0,Nr4a2
Nr4a3,0,0,0,0,Nr4a3
Nrg2,37,840,141,41,Nrg2
Nrip1,979,167,840,940,Nrip1
Nsf,859,301,1000,846,Nsf
Nsmaf,902,258,957,889,Nsmaf
Ntpcr,915,240,939,902,Ntpcr
Nuak1,999,163,860,958,Nuak1
Nuf2,175,887,288,171,Nuf2
Numb,1,1,2,2,Numb
Nup50,818,290,861,824,Nup50
Nupr1,806,323,889,819,Nupr1
Odf4,0,0,0,0,Odf4
Olfml2b,977,181,880,966,Olfml2b
Olfr635,0,0,0,0,Olfr635
Orc5,890,267,966,877,Orc5
Otog,651,357,699,656,Otog
Otud1,681,458,562,648,Otud1
Oxr1,90,912,217,96,Oxr1
Pak6,997,165,860,958,Pak6
Palb2,953,193,832,916,Palb2
Parg,342,738,259,330,Parg
Pcdh8,0,0,0,0,Pcdh8
Pdia4,888,272,971,875,Pdia4
Peli1,0,0,0,0,Peli1
Per1,0,0,0,0,Per1
Phlda1,484,617,481,456,Phlda1
Phtf1,189,746,135,184,Phtf1
Pick1,897,263,962,884,Pick1
Pigb,0,1,0,0,Pigb
Pigm,0,0,0,0,Pigm
Pira2,0,0,0,0,Pira2
Pkd1,464,289,454,480,Pkd1
Plagl1,16,67,14,25,Plagl1
Pld6,154,877,266,151,Pld6
Plekho1,0,0,0,0,Plekho1
Plk2,0,0,0,0,Plk2
Plk3,188,845,305,167,Plk3
Pmm2,243,819,274,217,Pmm2
Pnp,510,616,419,484,Pnp
Pnpt1,889,258,957,876,Pnpt1
Poc5,473,523,533,489,Poc5
Polr2d,0,16,0,1,Polr2d
Ppat,17,74,18,27,Ppat
Ppic,155,899,282,156,Ppic
Ppm1d,0,0,0,0,Ppm1d
Ppp1r15a,0,0,0,0,Ppp1r15a
Ppp2r2a,989,171,870,968,Ppp2r2a
Ppp6c,772,349,877,759,Ppp6c
Prep,889,267,966,876,Prep
Prickle2,394,122,316,369,Prickle2
Prkcb,899,261,960,886,Prkcb
Prkci,760,256,695,778,Prkci
Prkcz,164,1000,301,173,Prkcz
Prmt3,769,238,829,770,Prmt3
Prnp,741,287,682,759,Prnp
Prokr2,457,623,368,460,Prokr2
Prom2,1,0,0,1,Prom2
Prpf38b,0,0,0,0,Prpf38b
Prr15,895,227,916,890,Prr15
Psmb8,124,844,228,129,Psmb8
Psmc3,0,0,0,0,Psmc3
Ptger4,994,160,855,953,Ptger4
Ptgs2,0,0,0,0,Ptgs2
Ptpn22,129,827,205,130,Ptpn22
Pxn,522,494,531,516,Pxn
Rab11fip2,885,275,974,872,Rab11fip2
Rab2a,949,158,847,961,Rab2a
Rab39b,16,89,16,28,Rab39b
Rab3b,946,212,911,933,Rab3b
Raf1,652,94,610,648,Raf1
Ranbp2,0,0,0,0,Ranbp2
Rasd1,0,0,0,0,Rasd1
Rasl11a,976,168,861,979,Rasl11a
Rbbp5,0,0,0,0,Rbbp5
Rbbp8,472,578,363,447,Rbbp8
Rbm38,986,172,871,971,Rbm38
Rbp4,0,0,0,0,Rbp4
Rbsn,893,267,966,880,Rbsn
Rdh16,675,343,636,693,Rdh16
Rfc5,207,700,127,220,Rfc5
Rfx2,0,0,0,0,Rfx2
Rfx7,0,0,0,0,Rfx7
Rgmb,0,0,0,0,Rgmb
Rgs2,0,0,0,0,Rgs2
Rgs4,0,0,0,0,Rgs4
Ripk3,0,0,0,0,Ripk3
Rnf128,432,534,355,453,Rnf128
Rnf138rt1,899,247,946,884,Rnf138rt1
Rnf149,550,412,500,570,Rnf149
Rnft1,0,0,0,0,Rnft1
Rnpc3,0,0,0,0,Rnpc3
Rom1,842,262,725,811,Rom1
Rora,0,0,0,0,Rora
Rorb,890,257,956,877,Rorb
Rpl21-ps4,2,0,1,1,Rpl21-ps4
Rpl36a,183,150,161,170,Rpl36a
Rpp21,941,219,918,928,Rpp21
Rsbn1l,975,169,862,944,Rsbn1l
Rsrc1,55,881,182,64,Rsrc1
Rundc1,891,269,968,878,Rundc1
Samd11,175,887,288,171,Samd11
Samm50,314,668,233,295,Samm50
Sbds,975,185,884,962,Sbds
Scd3,830,306,709,799,Scd3
Scg2,0,0,0,0,Scg2
Scg3,586,531,473,556,Scg3
Scrn1,986,172,871,971,Scrn1
Sdcbp,0,0,0,0,Sdcbp
Sebox,116,846,230,121,Sebox
Sec61b,8,607,26,13,Sec61b
Serp1,993,159,854,954,Serp1
Sf3b1,0,0,0,0,Sf3b1
Sgk1,0,0,0,0,Sgk1
Sgpl1,686,296,613,702,Sgpl1
Sh2d3c,0,0,0,0,Sh2d3c
Shc4,204,603,162,210,Shc4
Shmt2,888,272,971,875,Shmt2
Siah2,0,0,0,0,Siah2
Sik1,0,0,0,0,Sik1
Slc14a1,262,818,379,242,Slc14a1
Slc16a1,990,170,869,967,Slc16a1
Slc18a2,2,1,3,8,Slc18a2
Slc18b1,826,292,807,796,Slc18b1
Slc20a2,987,171,870,970,Slc20a2
Slc23a4,841,319,964,828,Slc23a4
Slc25a25,0,0,0,0,Slc25a25
Slc2a3,0,0,0,0,Slc2a3
Slc2a5,132,776,81,128,Slc2a5
Slc35c2,983,175,874,970,Slc35c2
Slc36a4,430,497,371,444,Slc36a4
Slc5a10,0,0,0,0,Slc5a10
Slc6a6,193,134,205,185,Slc6a6
Slc7a15,154,877,266,151,Slc7a15
Slco2a1,421,622,507,426,Slco2a1
Smad7,0,0,0,0,Smad7
Smc1b,874,244,915,857,Smc1b
Smg9,0,40,0,2,Smg9
Smndc1,0,0,0,0,Smndc1
Snrpd2,891,267,966,878,Snrpd2
Snx18,0,0,0,0,Snx18
Snx4,0,0,0,0,Snx4
Sorcs2,870,290,981,857,Sorcs2
Sos1,419,566,307,393,Sos1
Sowahc,830,306,709,799,Sowahc
Spata2l,1,140,5,10,Spata2l
Spcs3,18,102,18,28,Spcs3
Specc1l,987,171,870,970,Specc1l
Spin2c,916,244,943,903,Spin2c
Sptlc2,791,307,833,798,Sptlc2
Spty2d1,0,0,0,0,Spty2d1
Srek1ip1,914,208,797,883,Srek1ip1
Srf,0,0,0,0,Srf
Srgap1,992,168,867,965,Srgap1
Ssna1,0,0,0,0,Ssna1
Ssxb2,0,0,0,0,Ssxb2
Stard3nl,215,691,287,191,Stard3nl
Stmn4,959,198,820,916,Stmn4
Stx2,0,0,0,0,Stx2
Sumf2,2,617,26,12,Sumf2
Suv39h1,964,196,895,951,Suv39h1
Syt4,0,0,0,0,Syt4
Syt5,889,255,954,876,Syt5
Tada2b,0,0,0,0,Tada2b
Tax1bp1,890,257,956,877,Tax1bp1
Tbc1d17,980,180,879,965,Tbc1d17
Tbcel,0,0,0,0,Tbcel
Tceb2,846,184,779,862,Tceb2
Tcta,479,528,424,471,Tcta
Tdrp,0,0,0,0,Tdrp
Tes,880,150,813,894,Tes
Tgfb3,192,355,207,177,Tgfb3
Tgs1,0,0,0,0,Tgs1
Thap4,606,415,586,624,Thap4
