,Arc,Prkcz,Nsf,Fmr1,gene
Smc1b,21,900,1,61,Smc1b
Smg9,710,31,283,0,Smg9
Smndc1,632,358,45,0,Smndc1
Snrpd2,0,116,603,0,Snrpd2
Snx18,723,30,299,0,Snx18
Snx4,5,236,43,26,Snx4
Sorcs2,4,146,134,19,Sorcs2
Sos1,440,18,449,114,Sos1
Sowahc,725,21,306,0,Sowahc
Spata2l,1,205,47,54,Spata2l
Spcs3,9,123,165,24,Spcs3
Specc1l,92,334,1,686,Specc1l
Spin2c,639,4,35,283,Spin2c
Sptlc2,340,1,2,738,Sptlc2
Spty2d1,8,201,61,27,Spty2d1
Srek1ip1,171,29,2,1000,Srek1ip1
Srf,723,29,300,0,Srf
Srgap1,858,80,117,55,Srgap1
Ssna1,1,114,603,1,Ssna1
Ssxb2,545,0,10,532,Ssxb2
Stard3nl,5,227,50,23,Stard3nl
Stmn4,90,325,1,695,Stmn4
Stx2,173,9,1,977,Stx2
Sumf2,94,324,1,697,Sumf2
Suv39h1,5,233,45,25,Suv39h1
Syt4,357,0,3,723,Syt4
Syt5,96,60,158,793,Syt5
Tada2b,10,295,10,152,Tada2b
Tax1bp1,114,234,1,733,Tax1bp1
Tbc1d17,356,0,3,724,Tbc1d17
Tbcel,146,7,90,855,Tbcel
Tceb2,0,116,603,0,Tceb2
Tcta,11,990,48,24,Tcta
Tdrp,0,110,615,2,Tdrp
Tes,749,115,190,2,Tes
Tgfb3,22,56,940,2,Tgfb3
Tgs1,162,218,1,789,Tgs1
Thap4,936,21,66,193,Thap4
Thoc7,632,358,45,0,Thoc7
Tiparp,627,365,44,0,Tiparp
Tlr13,3,419,19,22,Tlr13
Tmed2,4,146,134,19,Tmed2
Tmem119,168,52,1,976,Tmem119
Tmem151b,0,116,603,0,Tmem151b
Tmem167,155,3,68,869,Tmem167
Tmem201,0,115,603,1,Tmem201
Tmem253,924,35,97,95,Tmem253
Tmem39a,202,1,0,939,Tmem39a
Tmem47,99,4,551,335,Tmem47
Tmem50a,936,21,66,193,Tmem50a
Tmem8b,79,30,182,806,Tmem8b
Tmprss9,15,895,1,109,Tmprss9
Tmx4,629,351,59,4,Tmx4
Tnfrsf23,749,115,190,2,Tnfrsf23
Tnip2,0,115,605,0,Tnip2
Toe1,887,18,149,62,Toe1
Tox4,21,57,936,2,Tox4
Tra2b,145,27,107,886,Tra2b
Traip,725,21,306,0,Traip
Trappc6b,3,425,16,21,Trappc6b
Trhr,6,221,51,23,Trhr
Trib1,710,56,283,0,Trib1
Trim11,0,116,603,0,Trim11
Trp53inp2,885,20,149,61,Trp53inp2
Tsen54,167,2,35,928,Tsen54
Tspan33,49,41,984,2,Tspan33
Tuba1b,22,56,937,2,Tuba1b
Tubb2a,725,21,306,0,Tubb2a
Tubb3,0,116,603,0,Tubb3
Tubb4a,0,115,604,0,Tubb4a
Tubb4b,4,146,134,19,Tubb4b
Txnip,459,0,8,480,Txnip
U2af1l4,170,13,1,980,U2af1l4
Uba3,342,0,2,736,Uba3
Ubc,629,351,59,4,Ubc
Ube2a,627,367,41,0,Ube2a
Ube2d3,158,8,445,10,Ube2d3
Ube2l6,36,890,6,31,Ube2l6
Ube2o,0,116,603,0,Ube2o
Unc5a,116,7,510,335,Unc5a
Uncx,99,41,6,677,Uncx
Uqcrc2,889,17,148,64,Uqcrc2
Urb1,49,38,16,361,Urb1
Usp17lc,21,900,1,61,Usp17lc
Usp27x,5,114,570,61,Usp27x
Usp36,725,25,302,0,Usp36
Uspl1,0,115,604,0,Uspl1
Vamp1,999,11,50,170,Vamp1
Veph1,55,26,94,284,Veph1
Vmn1r63,21,900,1,61,Vmn1r63
Vmn2r10,749,115,190,2,Vmn2r10
